NCTId,BriefTitle,Acronym,OverallStatus,BriefSummary,HasResults,Condition,InterventionType,InterventionName,PrimaryOutcomeMeasure,SecondaryOutcomeMeasure,LeadSponsorName,CollaboratorName,Sex,MinimumAge,MaximumAge,StdAge,Phase,EnrollmentCount,LeadSponsorClass,StudyType,DesignPrimaryPurpose,OrgStudyId,SecondaryId,StartDate,PrimaryCompletionDate,CompletionDate,StudyFirstPostDate,ResultsFirstPostDate,LastUpdatePostDate,Timestamp
NCT05464446,Examination of Lower Urinary System Symptoms With Duchenne Muscular Dystrophy,,COMPLETED,"The aim of this study is to examine the prevalence of lower urinary tract symptoms (LUTS) in children with Duchenne Muscular Dystrophy (DMD) and the relationship between functional level, posture, muscle strength, pelvic floor muscle control, participation in activities of daily living, and quality of life that may be associated with these symptoms.

Forty-five children with DMD between the ages of 5-18 (Age: 9.00±3.32 years, Weight: 31,10±12,59 kg, Height: 125,87±18,46 cm) and their families were included in the study. LUTS was assessed with Dysfunctional Voiding And Incontinence Scoring System, functional level with Brooke Upper Extremity Functional Classification and Vignos Scale, posture with the New York Posture Assessment Questionnaire, Baseline Bubble Inclinometer (10602, Fabrication Enterprises Inc. New York, USA) and Baseline Digital Inclinometer (12-1057, Fabrication Enterprises Inc, New York, USA), participation in activities of daily living was assessed with the Barthel Index and quality of life was assessed with the Pediatric Quality of Life Inventory 3.0 Neuromuscular Module. Also, using the Hoggan microFET2 (Hoggan Scientific, LLC, Salt Lake City UT, USA) device, hip flexors, quadriceps femoris muscles, shoulder flexors, elbow extensors, elbow flexors, trunk extensors and flexors were evaluated in terms of muscle strength. Evaluations were made once, and the associated factors were compared in the group with and without LUTS, and the relationship between the factors and the severity of LUTS was examined.",False,"Duchenne Muscular Dystrophy, Lower Urinary Tract Symptoms, Muscle Weakness, Posture Disorders in Children, Lumbar Lordosis, Pelvic Floor Muscle Weakness, Quality of Life",DEVICE,"Baseline Bubble Inclinometer, Baseline Digital İnclinometer and Hoggan microFET2 devices","Lower urinary system symptoms, Lower urinary system dysfunction, Muscle strength and lower urinary system symptoms, Functionality and lower urinary system symptoms, Posture and lower urinary system symptoms, Pelvic floor muscle control and lower urinary system symptoms, Activities of daily living and lower urinary system symptoms, Quality of life and lower urinary system symptoms",Urologist evaluation,Lokman Hekim Üniversitesi,Hacettepe University,MALE,5 Years,18 Years,"CHILD, ADULT",,45,OTHER_GOV,OBSERVATIONAL,,16969557-1784,,2021-10-01,2022-06-01,2022-06-20,2022-07-19,,2022-07-19,2024-12-10T07:22:19.264591
NCT02500381,Study of SRP-4045 (Casimersen) and SRP-4053 (Golodirsen) in Participants With Duchenne Muscular Dystrophy (DMD),ESSENCE,ACTIVE_NOT_RECRUITING,"The main objective of this study is to evaluate the efficacy of SRP-4045 (casimersen) and SRP-4053 (golodirsen) compared to placebo in participants with DMD with out-of-frame deletion mutations amenable to skipping exon 45 and exon 53, respectively.",False,Duchenne Muscular Dystrophy,"DRUG, DRUG, DRUG","SRP-4045, SRP-4053, Placebo",Change From Baseline in the Total Distance Walked During 6MWT at Week 96,"Change from Baseline in the Total Distance Walked During 6MWT at Week 144 (Week 48 of the Open-Label Extension Period), Change from Baseline in Dystrophin Protein Levels Determined by Western Blot at Weeks 48 or 96, Change from Baseline in Dystrophin Intensity Levels Determined by Immunohistochemistry (IHC) at Weeks 48 or 96, Participant's Ability to Rise Independently From the Floor, as indicated by a North Star Ambulatory Assessment (NSAA) Subscore, Time to Loss of Ambulation (LOA), Change From Baseline in the NSAA Total Score at Week 96 and Week 144, Change From Baseline in Forced Vital Capacity Percent (FVC%) Predicted at Week 96 and Week 144","Sarepta Therapeutics, Inc.",,MALE,6 Years,13 Years,CHILD,PHASE3,228,INDUSTRY,INTERVENTIONAL,TREATMENT,4045-301,,2016-09-28,2024-11-15,2025-10-17,2015-07-16,,2024-10-01,2024-12-10T07:22:19.264591
NCT04240314,AAV9 U7snRNA Gene Therapy to Treat Boys With DMD Exon 2 Duplications.,,ACTIVE_NOT_RECRUITING,"Open-label, single dose clinical trial of scAAV9.U7.ACCA via peripheral limb vein injection for Duchenne muscular dystrophy boys who have a duplication of exon 2.",False,Duchenne Muscular Dystrophy,BIOLOGICAL,scAAV9.U7.ACCA,Monitoring for the development of unacceptable toxicity.,"Change in dystrophin expression from baseline following treatment with scAAV9.U7.ACCA., Change in dystrophin expression from baseline following treatment with scAAV9.U7.ACCA., Changes in exon 2 inclusion in the dystrophin mRNA transcript.",Megan Waldrop,Audentes Therapeutics,MALE,6 Months,13 Years,CHILD,"PHASE1, PHASE2",3,OTHER,INTERVENTIONAL,TREATMENT,AAV9 Dup2 U7,,2020-01-15,2023-11-19,2025-11-19,2020-01-27,,2023-02-09,2024-12-10T07:22:19.264591
NCT06053814,NS-050/NCNP-03 in Boys With DMD (Meteor50),,NOT_YET_RECRUITING,"This is a Phase 1/2 study of Multiple-Ascending Dose (MAD) levels for 12 weeks of treatment followed by 24 weeks of open-label treatment with a selected dose of NS-050/NCNP-03 administered once weekly to ambulant boys with DMD, who have a DMD mutation amenable to exon 50 skipping.",False,Duchenne Muscular Dystrophy,"DRUG, DRUG","NS-050/NCNP-03, Placebo","Part 1: Overall Summary of Treatment-emergent Adverse Events (TEAEs), Part 1: Area Under the Plasma Concentration Versus Time Curve (AUC) of NS-050/NCNP-03, Part 1: Amount of Drug Excreted in Urine of NS-050/NCNP-03, Part 2: Change from baseline in skeletal muscle dystrophin protein by immunoblot (Western blot)","Part 2: Change from baseline in skeletal muscle dystrophin protein by mass spectrometry, Part 2: Change from baseline in skeletal muscle dystrophin protein levels by immunofluorescence staining, Part 2: Change from baseline in percentage of exon 50-skipped mRNA of skeletal muscle dystrophin, Part 2: North Star Ambulatory Assessment (NSAA) score, Part 2: Time to Stand (TTSTAND), Part 2: Time to Run/Walk 10 Meters (TTRW), Part 2: Time to Climb 4 Stairs (TTCLIMB), Part 2: Total distance of 6 Minute Walk Test (6MWT), Part 2: Muscle strength measured by Quantitative Muscle Testing (QMT), Part 2: Grip/Pinch Strength, Part 2: Performance of Upper Limb (PUL) 2.0. score","NS Pharma, Inc.","Nippon Shinyaku Co., Ltd.",MALE,4 Years,14 Years,CHILD,"PHASE1, PHASE2",20,INDUSTRY,INTERVENTIONAL,TREATMENT,NS-050/NCNP-03-101,,2024-07,2027-05,2027-05,2023-09-26,,2024-02-15,2024-12-10T07:22:19.264591
NCT03167255,Extension Study of NS-065/NCNP-01 in Boys With Duchenne Muscular Dystrophy (DMD),,COMPLETED,"This is an open-label, extension study of NS-065/NCNP-01 administered intravenously once weekly for an additional 192 weeks to boys with DMD who complete Study NS-065/NCNP-01-201.",True,Duchenne Muscular Dystrophy,DRUG,NS-065/NCNP-01,"Change From Baseline in Time to Stand (TTSTAND) Versus Matched Historical Controls, Change From Baseline in Time to Stand (TTSTAND) Velocity Versus Matched Historical Controls, Number of Participants With Treatment Related Adverse Events as Assessed by CTCAE v4.0.","Change From Baseline in Time to Run/Walk 10 Meters Test (TTRW) Versus Matched Historical Controls, Change From Baseline in Time to Run/Walk 10 Meters Test (TTRW) Velocity Versus Matched Historical Controls, Change From Baseline in Time to Climb 4 Stairs (TTCLIMB) Versus Matched Historical Controls, Change From Baseline in Time to Climb 4 Stairs (TTCLIMB) Velocity Versus Matched Historical Controls, Change From Baseline in North Star Ambulatory Assessment (NSAA) Score Versus Matched Historical Controls, Change From Baseline in Six-Minute Walk Test (6MWT) Versus Matched Historical Controls, Change From Baseline in Quantitative Muscle Testing (QMT) for Handgrip Versus Matched Historical Controls, Change From Baseline in Quantitative Muscle Testing (QMT) for Elbow Flexors Versus Matched Historical Controls, Change From Baseline in Quantitative Muscle Testing (QMT) for Elbow Extensors Versus Matched Historical Controls, Change From Baseline in Quantitative Muscle Testing (QMT) for Knee Flexors Versus Matched Historical Controls, Change From Baseline in Quantitative Muscle Testing (QMT) for Knee Extensors Versus Matched Historical Controls","NS Pharma, Inc.","Nippon Shinyaku Co., Ltd., Cooperative International Neuromuscular Research Group, Therapeutic Research in Neuromuscular Disorders Solutions (TRiNDS)",MALE,4 Years,10 Years,CHILD,PHASE2,16,INDUSTRY,INTERVENTIONAL,TREATMENT,NS-065/NCNP-01-202,,2017-07-06,2021-10-20,2021-11-15,2017-05-25,2022-11-18,2022-12-28,2024-12-10T07:22:19.264591
NCT01128855,"A Double-blind, Escalating Dose, Randomized, Placebo-controlled Study Assessing PK, Safety, Tolerability in Non-ambulant DMD Subjects",DEMAND I,COMPLETED,"The purpose of this study is investigate the pharmacokinetics, safety and tolerability of single subcutaneous administration of GSK2402968 in non-ambulant boys with Duchenne muscular dystrophy",False,Muscular Dystrophies,"DRUG, DRUG, DRUG, DRUG, OTHER","3 mg/kg GSK2402968, 6 mg/kg GSK2402968, 9 mg/kg GSK2402968, 12 mg/kg GSK2402968, Placebo","Primary Pharmacokinetic Variables:AUC, Cmax,t-max, CL/F, Incidence of Adverse Events, Incidence of Injection Site Reactions",,GlaxoSmithKline,,MALE,9 Years,,"CHILD, ADULT, OLDER_ADULT",PHASE1,20,INDUSTRY,INTERVENTIONAL,TREATMENT,114118,,2010-07-12,2011-10-25,2011-10-25,2010-05-24,,2017-07-18,2024-12-10T07:22:19.264591
NCT03490214,Non-invasive Imaging of Muscle Structure in Duchenne Muscular Dystrophy Using Multispectral Optoacoustic Tomography,MSOT_DMD,COMPLETED,"This pilot study aims to assess subcellular muscle structure in patients with Duchenne X-linked progressive Duchenne muscular dystrophy (DMD) in comparison to healthy volunteers using multispectral optoacoustic tomography (MSOT). During MSOT, a transducer is placed on the skin similar to a conventional sonography and instead of sound, energy is supplied to the tissue by means of light flashes. This leads to a constant change of minimal expansions and contractions (thermoelastic expansion) of individual tissue constituents or molecules. The resulting sound waves can then be detected by the same examination unit.",False,"Duchenne Muscular Dystrophy, Muscular Dystrophies, Muscular Dystrophy, Duchenne",DEVICE,Multispectral Optoacoustic Tomography,"Muscular lipid content, Muscular collagen content","Muscular myo-/hemoglobin content, Correlation of lipid signal with age/disease duration, Correlation of myo-/hemoglobin signal with age/disease duration, Correlation of lipid signal with 6MWT, Correlation of lipid signal with MRC, Correlation of collagen signal with 6MWT, Correlation of collagen signal with MRC, Correlation of myo-/hemoglobin signal with 6MWT, Correlation of myo-/hemoglobin signal with MRC, Signal differences left and right muscles",University of Erlangen-Nürnberg Medical School,,MALE,3 Years,10 Years,CHILD,NA,20,OTHER,INTERVENTIONAL,DIAGNOSTIC,67_18 B,,2018-06-01,2018-08-01,2018-09-01,2018-04-06,,2019-12-09,2024-12-10T07:22:19.264591
NCT01066455,Cardiac Outcome Measures in Children With Muscular Dystrophy,,COMPLETED,The purpose of the research study is to evaluate different cardiac measures that are obtained by echocardiographic tests in patients with muscular dystrophy.,False,"Duchenne Muscular Dystrophy, Becker Muscular Dystrophy, Limb Girdle Muscular Dystrophy",,,,,Cooperative International Neuromuscular Research Group,National Institutes of Health (NIH),ALL,8 Years,18 Years,"CHILD, ADULT",,48,NETWORK,OBSERVATIONAL,,PITT1109,,2010-01,2012-05,2012-05,2010-02-10,,2013-01-11,2024-12-10T07:22:19.264591
NCT03375255,"A Study to Evaluate the Safety, Tolerability, and Pharmacokinetics of a Single Dose of SRP-5051 (Vesleteplirsen) in Patients With Duchenne Muscular Dystrophy (DMD)",,COMPLETED,"The purpose of this study is to evaluate the safety, tolerability, and pharmacokinetics (PK) of 5 escalating doses of SRP-5051 (vesleteplirsen) administered as a single dose to patients with DMD amenable to exon 51 skipping treatment.",False,"Muscular Dystrophy, Duchenne",DRUG,SRP-5051,Number of Participants with Adverse Events (AEs),"Maximum Plasma concentration (Cmax) of SRP-5051, Area under the plasma concentration versus time curve (AUC) of SRP-5051","Sarepta Therapeutics, Inc.",,MALE,12 Years,,"CHILD, ADULT, OLDER_ADULT",PHASE1,15,INDUSTRY,INTERVENTIONAL,TREATMENT,5051-101,,2018-02-05,2019-08-19,2019-08-19,2017-12-18,,2022-07-06,2024-12-10T07:22:19.264591
NCT06378203,Rehabilitation in Muscular Dystrophies From the Hospital Facility to the Home: Pilot Project [RIMUDI],RIMUDI,RECRUITING,"Until twenty years ago physical exercise in muscular dystrophies was considered harmful to the muscle cells, inducing an acceleration of cell necrosis. In fact, it is now certain and validated that an active lifestyle and the practice of controlled and regular physical activity are to be considered therapeutic in neuromuscular pathologies with the aim of optimizing muscular and cardio-respiratory function and preventing atrophy In particular, it seems that the optimal care is extensive and can be carried out in a safe and controlled manner even at home.

It is well documented that exercise has beneficial effects on muscle with increased strength and muscular endurance.",False,"Muscular Dystrophies, Limb Girdle Muscular Dystrophy, Facio-Scapulo-Humeral Dystrophy, Becker Muscular Dystrophy",OTHER,tele-rehabilitation system with virtual reality Home Kit - Virtual Reality Rehabilitation System (VRRS KHYMEIA),"6 minute walk test (6MWT), Motor Function Measure scale (MFM), Performance of Upper Limb (PUL), Time up and go (TUG)","Modification of fatigue and quality of life scales from T0 to T6, Short Form 36 (SF36)",IRCCS Eugenio Medea,,ALL,18 Years,,"ADULT, OLDER_ADULT",NA,10,OTHER,INTERVENTIONAL,TREATMENT,MEDEA 1013,,2023-12-15,2024-12-15,2025-04-15,2024-04-22,,2024-04-22,2024-12-10T07:22:19.264591
NCT05996003,NS-089/NCNP-02-201 in Boys With Duchenne Muscular Dystrophy (DMD),,RECRUITING,"This is a Phase 2, open-label, multi-center, 2-part study of NS-089/NCNP-02 administered by weekly IV infusion to ambulant boys aged ≥4 to \<15 years with DMD due to mutations amenable to exon 44 skipping. Participants will receive a selected dose of NS-089/NCNP-02 administered once weekly.

The study consists of 2 parts: Part 1 and Part 2. Six participants (Cohort 1) will participate in both Part 1 and Part 2, and 14 participants (Cohort 2) will be added for Part 2.",False,Duchenne Muscular Dystrophy,DRUG,NS-089/NCNP-02,"Adverse Event and Adverse Drug Reaction, Plasma pharmacokinetic (PK) parameters, Plasma pharmacokinetic (PK) parameters, Plasma pharmacokinetic (PK) parameters, Plasma pharmacokinetic (PK) parameters, Plasma pharmacokinetic (PK) parameters, Plasma pharmacokinetic (PK) parameters, Plasma pharmacokinetic (PK) parameters, Urine pharmacokinetic parameters, Change from baseline in skeletal muscle dystrophin protein by immunoblot (Western blot).","Change from baseline in skeletal muscle dystrophin protein by mass spectrometry., Change from baseline in skeletal muscle dystrophin protein levels by immunofluorescence staining., Change from baseline in percentage of exon 44-skipped mRNA of skeletal muscle dystrophin, North Star Ambulatory Assessment (NSAA) score, Time to Run/Walk 10 Meters (TTRW), Time to Stand (TTSTAND), Total distance of 6 Minute Walk Test (6MWT), Time to Climb 4 Stairs (TTCLIMB), Muscle strength measured by Quantitative Muscle Testing (QMT), Grip and pinch strength, Performance of Upper Limb (PUL) 2.0. score","NS Pharma, Inc.","Nippon Shinyaku Co., Ltd.",MALE,4 Years,14 Years,CHILD,PHASE2,20,INDUSTRY,INTERVENTIONAL,TREATMENT,NS-089/NCNP-02-201,,2024-02-22,2025-11-28,2025-11-28,2023-08-16,,2024-11-01,2024-12-10T07:22:19.264591
NCT02421523,Strength Training in Duchenne Muscular Dystrophy,,COMPLETED,"Duchenne muscular dystrophy (DMD) is a debilitating neuromuscular disease that causes muscle breakdown, weakness, and eventual death. Over the last 40 years parents have received little guidance on the potential of exercise as a therapeutic strategy to maintain muscle function. It is well known that high intensity exercise and eccentric contractions can result in muscle damage in dystrophic muscle, yet the absence of muscle loading will conversely result in muscle wasting. Recent research in rodent models and milder forms of muscular dystrophy supports earlier studies that resistance exercise may have beneficial effects for maintenance of muscle mass in dystrophic muscle. However, careful and systematic investigation into the safety and feasibility of resistance exercise is needed to consider its implementation in boys with DMD.

The goal of this project is to assess the safety and feasibility of a home based mild to moderate-intensity strengthening exercise program in boys with Duchenne muscular dystrophy (DMD). Evidence from milder forms of muscular dystrophy and mouse models of DMD suggests that strengthening exercise may be beneficial for these children, but this area has not been adequately explored using human subjects. The results of this study should provide information to assist in the development of scientifically based recommendations concerning optimal exercise parameters for patients with DMD.",False,Duchenne Muscular Dystrophy,"PROCEDURE, PROCEDURE, PROCEDURE","Aim 2 Exercise group, Aim 1 Exercise Dosing, Aim 2 Control group","Change from baseline in T2 weighted MRI of skeletal muscle in leg for Aim 2, Change in base line in T2 weighted MRI of skeletal muscle in leg for Aim 1","Change from baseline in Spectroscopic Relaxometry for Aim 2, Change from baseline in Spectroscopic Relaxometry for Aim 1, Change from baseline in Creatine Kinase (CK) Levels for Aim 2, Change from baseline in Creatine Kinase (CK) Levels for Aim 1, Change from baseline in Pain for Aim 2, Change from baseline in Pain for Aim 1",University of Florida,National Institute of Arthritis and Musculoskeletal and Skin Diseases (NIAMS),MALE,7 Years,10 Years,CHILD,NA,18,OTHER,INTERVENTIONAL,HEALTH_SERVICES_RESEARCH,IRB201400874-N,1R21AR064949-01A1,2015-05-30,2018-02-15,2018-10-08,2015-04-20,,2019-03-06,2024-12-10T07:22:19.264591
NCT02834650,Validating Cardiac MRI Biomarkers and Genotype-Phenotype Correlations for DMD,,COMPLETED,"This study will collect MRI from healthy volunteer boys and boys with Duchenne Muscular Dystrophy (DMD) to help researchers identify and validate cardiac MRI biomarkers to better understand the health of the heart and changes in heart health over time in boys with DMD.

Currently, there is a lack of sufficiently well characterized cardiac MRI biomarkers that can serve as endpoints for detecting on-target and/or off-target cardiac effects during clinical drug trials for boys with DMD.

Consequently, the first objective is to identify and characterize several cardiac MRI biomarkers for boys with DMD.",False,"Muscular Dystrophy, Duchenne","OTHER, OTHER, OTHER, OTHER, OTHER, OTHER, OTHER","Cardiac MRI with contrast, Cardiac MRI without contrast, Blood Test, Heart Rate, Pulmonary Function Test, Genetic Testing, Repeat MRI scan","Myocardial Tissue Characterization, Myocardial Functional Characterization, Genomic Analysis",,Stanford University,"National Institutes of Health (NIH), Children's Hospital of Orange County, National Heart, Lung, and Blood Institute (NHLBI), University of California, Los Angeles",MALE,7 Years,21 Years,"CHILD, ADULT",NA,89,OTHER,INTERVENTIONAL,BASIC_SCIENCE,DMD2016,1R01HL131975-01,2017-02-01,2022-03-30,2022-03-30,2016-07-15,,2022-05-10,2024-12-10T07:22:19.264591
NCT02340923,"A Device for Rapid, Painless, Bedside Muscle Evaluation of Children",,COMPLETED,"The purpose of this protocol is to perform Electrical Impedance Myography (EIM) testing on healthy children and children with duchenne muscular dystrophy so as to develop a new, convenient tool for the office based assessment of children with a wide variety of neuromuscular conditions.",False,Duchenne Muscular Dystrophy,,,Electrical Impedance Myography Measurements,,"Skulpt, Inc.",National Institute of Neurological Disorders and Stroke (NINDS),MALE,,18 Years,"CHILD, ADULT",,327,INDUSTRY,OBSERVATIONAL,,PED-003-2014,2R44NS073188,2015-01,2016-06,2016-08,2015-01-19,,2016-08-11,2024-12-10T07:22:19.264591
NCT06643923,Effects of Lumbopelvic Stabilization-based Physiotherapy and Rehabilitation Training in Duchenne Muscular Dystrophy,,NOT_YET_RECRUITING,"This study aims to examine the effectiveness of supervised lumbopelvic stabilization in relation to factors associated with lower urinary tract symptoms in children diagnosed with Duchenne Muscular Dystrophy (DMD) who have lower urinary tract dysfunction. Children aged between 8 and 12 years, at stages 1-4 according to the Vignos scale, and who have a score of 8.5 or higher on the Dysfunctional Voiding Symptom Score (DVSS), will be included in the study. Demographic information will be collected through a general assessment form, while lower urinary tract symptoms will be assessed using the DVSS, a researcher-developed evaluation form, and a three-day bladder diary. Bowel symptoms will be evaluated using the Rome IV criteria and a seven-day bowel diary. Physical performance will be assessed via the Timed Up and Go Test and Gower's Test, muscle strength using the microFET2 hand dynamometer, lumbar lordosis angle with a Bubble inclinometer, participation in daily living activities via the Barthel Index, and perceived well-being of both the child and the parent will be assessed using the Faces Rating Scale. Participants will be randomly assigned to two groups (Treatment and Active Control) using a block randomization method. In the Active Control group, children will receive only urotherapy education. In the Treatment group, children will receive supervised, online, lumbopelvic exercise-based physiotherapy and rehabilitation sessions, in addition to urotherapy, conducted by a physiotherapist. The sessions will last eight weeks, with a total of 24 sessions. At the end of the eight-week period, both groups will be re-evaluated using the same assessment methods. Intra-group and inter-group comparisons will be completed using appropriate analytical methods.",False,"Duchenne Muscular Dystrophy (DMD), Lower Urinary Track Symptoms","OTHER, BEHAVIORAL","Exercise, Urotherapy",Lower urinary tract symptoms assessment,"Bowel symptom assessment, Physical performance assessment, Muscle strength assessment, Lumbar lordosis angle assessment, Evaluation of participation in daily living activities, Perceived well-being assessment, Physical performance assessment",Lokman Hekim Üniversitesi,,MALE,8 Years,12 Years,CHILD,NA,34,OTHER_GOV,INTERVENTIONAL,TREATMENT,2024232,Lokman hekim university,2024-12-01,2025-12-01,2026-12-01,2024-10-16,,2024-10-16,2024-12-10T07:22:19.264591
NCT06565208,First in Human SAD/MAD Safety and PK Study with Adult DMD Safety and PK Cohort,,RECRUITING,"This is a first-in-human (FIH), Phase 1 study of orally administered SAT-3247 in healthy adult volunteers (HVs) and adult participants with DMD to determine safety, tolerability, pharmacokinetics and pharmacodynamics.",False,Duchenne Muscular Dystrophy,"DRUG, DRUG","SAT-3247, matched placebo",Incidence and severity of treatment emergent adverse events,Serum plasma Pharmacokinetics of SAT-3247,"Satellos Bioscience, Inc.",,MALE,18 Years,40 Years,ADULT,EARLY_PHASE1,82,INDUSTRY,INTERVENTIONAL,TREATMENT,SAT-3247-CL-101,,2024-08-21,2025-03,2025-03,2024-08-21,,2024-11-08,2024-12-10T07:22:19.264591
NCT04587908,A Phase 3 Study of TAS-205 in Patients With Duchenne Muscular Dystrophy（REACH-DMD）,,ACTIVE_NOT_RECRUITING,The purpose of this study is to evaluate the efficacy and safety of TAS-205 in patients with Duchenne muscular dystrophy,False,Duchenne Muscular Dystrophy,"DRUG, DRUG","TAS-205 [Ambulatory Cohort] [Non-ambulatory Cohort], Placebo [Ambulatory Cohort] only","Mean change from baseline to Week 52 in the time to rise from the floor, Incidence of Adverse Events and Adverse Reactions","Time measured in the time to rise from the floor test, as well as the change from baseline in each measured value, Change from baseline in the Timed Up and Go Test (TUG), Change from baseline in North Star Ambulatory Assessment (NSAA), Change from baseline in Six-minutes Walk Test (6MWT), Measured values of Muscle volume index (MVI), Percent Muscle volume index (%MVI) and skeletal muscle mass in skeletal muscle computed tomography (CT), as well as the change from baseline in each measured value, Assessment of upper limb function: The Brooke upper extremity scale, measured values of performance of the upper limb (PUL) and change from baseline in measured values, Change from baseline in grip strength, Pulmonary function tests: measured effort lung capacity (FVC, %FVC), volume in 1 second (Forced Expiratory Volume :FEV1.0), fraction in 1 second (FEV1.0%), and change from baseline (at enrollment) of measured values., Echocardiography: Measured EF and FS and change from baseline in measured values","Taiho Pharmaceutical Co., Ltd.",,MALE,5 Years,,"CHILD, ADULT, OLDER_ADULT",PHASE3,104,INDUSTRY,INTERVENTIONAL,TREATMENT,10053050,,2020-11-01,2027-05,2027-05,2020-10-14,,2024-08-14,2024-12-10T07:22:19.264591
NCT01207908,Safety and Efficacy Study of IGF-1 in Duchenne Muscular Dystrophy,,COMPLETED,The purpose of this study is to determine whether IGF-1 therapy improves or preserves muscle function in Duchenne Muscular Dystrophy (DMD).,True,Duchenne Muscular Dystrophy,DRUG,IGF-1,Difference in 6-Minute Walk Distance Between Groups (Control Minus IGF-1) for Change at 6 Months Versus Baseline,"Difference in Height Velocity Between Groups (Control Minus IGF-1) for Change at 6 Months Versus Baseline, Difference in North Star Ambulatory Assessment (NSAA) Score Between Groups (Control Minus IGF-1) for Change at 6 Months Versus Baseline","Children's Hospital Medical Center, Cincinnati","Ipsen, Charley's Fund",MALE,5 Years,,"CHILD, ADULT, OLDER_ADULT","PHASE1, PHASE2",44,OTHER,INTERVENTIONAL,TREATMENT,2010-1491,,2010-11,2012-10,2013-06,2010-09-23,2021-01-20,2021-01-20,2024-12-10T07:22:19.264591
NCT05689164,A Study to Understand the Long-term Safety and Effects of an Experimental Gene Therapy for Duchenne Muscular Dystrophy.,,RECRUITING,The purpose of this study is to understand the safety and effects of an experimental gene therapy called fordadistrogene movaparvovec. We are seeking participants from previous Pfizer interventional studies. We will follow participants' experience in this study for 10 years after the end of their previous study. Participants will have 1 annual onsite visit and a few annual remote visits. The exact number of remote visits will be decided by their study doctor.,False,Duchenne Muscular Dystrophy,BIOLOGICAL,fordadistrogene movaparvovec,"Number of participants with serious adverse events, Percentage of participants with serious adverse events, Number of participants with adverse events considered related to treatment, Percentage of particpants with adverse events considered related to treatment, Number of participants with malignancy adverse event, Number of participants with clinically significant findings in electrocardiogram (ECG) assessments, Number of participants with clinically significant findings in cardiac troponin I laboratory examinations, Number of participants with clinically significant findings in echocardiogram parameters","Change from pre-dose in the ability to walk 10 meters unassisted, Change from pre-dose in the ability to climb stairs., Change from pre-dose in the Performance of Upper Limb (PUL) 2.0 entry score, Change from pre-dose in the North Star Ambulatory Assessment total score, Change from pre-dose in percent of predicted forced vital capacity (%pFVC) and percent predicted peak expiratory flow (%pPEF), Change from pre-dose in left ventricular ejection fraction (LVEF) on echocardiogram, Change from pre-dose in the Modified Pediatric Outcomes Data Collection Instrument, Change from pre-dose in the Upper Limb Function Patient Reported Outcome Measure, Age when percent predicted forced vital capacity <30%, Age at loss of ambulation, Age at death, Cause of death, Glucocorticoid use dose and frequency",Pfizer,,MALE,0 Years,,"CHILD, ADULT, OLDER_ADULT",PHASE3,250,INDUSTRY,INTERVENTIONAL,OTHER,C3391011,,2023-03-13,2039-05-15,2039-05-15,2023-01-19,,2024-02-22,2024-12-10T07:22:19.264591
NCT01380964,Research of Biomarkers in Duchenne Muscular Dystrophy Patients,IBISD,COMPLETED,"The purpose of this study is to identify potential biomarkers for the diagnosis, disease progression assessment and response to treatment in patients with Duchenne Muscular Dystrophy.",False,Duchenne Muscular Dystrophy (DMD),,,IBiSD aims to identify and validate new and disease-specific biomarkers.,,Genethon,Institute of Myology,MALE,3 Years,20 Years,"CHILD, ADULT",,220,OTHER,OBSERVATIONAL,,GEE006.10,,2011-06,2015-12,2015-12,2011-06-27,,2016-08-17,2024-12-10T07:22:19.264591
NCT03375164,A Gene Transfer Therapy Study to Evaluate the Safety of Delandistrogene Moxeparvovec (SRP-9001) in Participants With Duchenne Muscular Dystrophy (DMD),,COMPLETED,"This study was an open-label single-dose gene transfer therapy study evaluating the safety of delandistrogene moxeparvovec intravenous (IV) administration in boys with DMD. This study was originally designed to consist of 12 patients across 2 Cohorts. Cohort A would have included participants ages 3 months to 3 years, and Cohort B included participants ages 4 to 7 years old. No participants were enrolled in Cohort A.",True,Duchenne Muscular Dystrophy,GENETIC,delandistrogene moxeparvovec,Number of Participants With Adverse Events (AEs),"Change From Baseline at Day 90 in Delandistrogene Moxeparvovec Dystrophin Expression as Measured by Western Blot, Change From Baseline at Day 90 in Delandistrogene Moxeparvovec Dystrophin Expression as Measured by Immunofluorescence (IF) Fiber Intensity, Change From Baseline at Day 90 in Delandistrogene Moxeparvovec Dystrophin Expression as Measured by IF Percent Dystrophin Positive Fibers (PDPF), Change From Baseline at Year 5 in the 100 Meter Timed Test","Sarepta Therapeutics, Inc.",,MALE,3 Months,7 Years,CHILD,"PHASE1, PHASE2",4,INDUSTRY,INTERVENTIONAL,TREATMENT,SRP-9001-101,2021-000077-83,2018-01-04,2023-04-25,2023-04-25,2017-12-15,2024-05-23,2024-11-14,2024-12-10T07:22:19.264591
