NCTId,type,name,description,arm_group_labels,other_names
NCT05584319,Drug,Empagliflozin 10 Mg,subjects in Empagliflozin group takes Empagliflozin 10mg per day,Empagliflozin group,Empagliflozin
NCT05651919,Biological,Blood test,"During the routine blood test of the patient, 4 more tubes of 4 milliliters (mL) will be collected to make a biological collection of PBMC and plasma for further analysis.","No-T2D +MS / HFpEF or HFmrEF, No-T2D +MS / No-HF (control group), T2D +MS / HFpEF or HFmrEF, T2D+MS / no-HF",
NCT05651919,Behavioral,quality of life Questionnaire,"During the routine medical visit, the patient will be asked to fill in a short questionnaire about quality of life.

This is a descriptive system comprises the following five dimensions: mobility, self-care, usual activities, pain/discomfort and anxiety/depression. Each dimension has 3 levels: no problems, some problems, and extreme problems. This decision results into a 1-digit number that expresses the level selected for that dimension. Each patient's health state is referred to in terms of a 5-digit code;

Levels of perceived problems are coded as follows:

* Level 1 is coded as a '1' (indicating no problem)
* Level 2 is coded as a '2' (indicating some problems)
* Level 3 is coded as a '3' (indicating extreme problems) For example, state 11223 indicates no problems with mobility and self-care, no problems with performing usual activities, moderate pain or discomfort and extreme anxiety or depression, while state 11111 indicates no problems.","No-T2D +MS / HFpEF or HFmrEF, No-T2D +MS / No-HF (control group), T2D +MS / HFpEF or HFmrEF, T2D+MS / no-HF",
NCT05651919,Behavioral,Diet habits questionnaire,"During the routine medical visit, the patient will be asked to fill in a short questionnaire about his diet habits.

This is an exploratory questionnaire that describes and quantifies the foods (pro- or anti-inflammatory) ingested by patients.","No-T2D +MS / HFpEF or HFmrEF, No-T2D +MS / No-HF (control group), T2D +MS / HFpEF or HFmrEF, T2D+MS / no-HF",
NCT05338437,Device,Neuromuscular electrical stimulation,Bilateral quadriceps muscle stimulation,Neuromuscular electrical stimulation,
NCT04739215,Drug,Dapagliflozin 10 MG [Farxiga],Dapagliflozin 10 mg / day oral,Clinical Trial: Experimental Arm,
NCT04739215,Drug,Placebo,One Placebo capsule daily oral,Clinical Trial: Placebo Arm,
NCT05008432,Diagnostic Test,Home sleep apnea testing,"Participants will be monitored with a WatchPAT device for home based diagnosis of OSA (for patients hospitalized with HFpEF, the sleep test may be performed in the hospital or at home).",HFpEF Patients Diagnosed with Obstructive Sleep Apnea,
NCT03240237,Device,Optimizer SMART,Cardiac Contractility Modulation,CCM therapy,
NCT07053475,Drug,Ferric Carboxymaltose,"Intravenous infusion of 1 gram FCM during index hospital stay, followed by a second dose at Week 6 (1,000 mg if \> 70 kg or 500 mg if ≤ 70 kg).",IV Iron (Ferric Carboxymaltose),"FCM, IV Iron"
NCT07053475,Drug,Ferrous Sulfate,Oral administration of one 150 mg capsule every 48 hours for 12 weeks.,Oral Iron (Ferrous Sulfate),"Ferrex, Oral Iron"
NCT05425459,Device,Corvia Atrial Shunt System / IASD System II,The primary component of the system is an implant placed in the atrial septum designed to allow left to right flow between the left atrium and right atrium to reduce the elevated left atrial pressure.,Treatment,
NCT05425459,Other,"Intra-cardiac echocardiography (ICE), or transesophageal echocardiography (TEE)","Intra-cardiac echocardiography (ICE), or transesophageal echocardiography (TEE) for examination of the atrial septum and left atrium.",Control,
NCT06311552,Other,Participants will undergo a comprehensive CMR scan on either a 1.5- or 3-Tesla scanner,Participants will undergo a comprehensive CMR scan on either a 1.5- or 3-Tesla scanner,CMR scan on either a 1.5- or 3-Tesla scanner,
NCT03414632,Drug,99mTc-PYP,Radioisotope used in the SPECT/CT imaging,SPECT/CT,
NCT07010952,Diagnostic Test,AI-based image analysis,AI-based imaging analysis,Adult heart failure cohort with comprehensive echocardiographic imaging for AI-driven HF phenotyping,
NCT07010952,Other,AI-based imaging analysis,AI-based imaging analysis,Adult heart failure cohort with comprehensive echocardiographic imaging for AI-driven HF phenotyping,
NCT05745337,Drug,"As needed pharmacological rate control with beta-blocker (metoprolol tartrate, metoprolol succinate) or calcium channel blocker (diltiazem, verapamil)",Patients will stop their daily beta-blocker and take as-needed rate control (beta-blocker or calcium channel blocker) guided by their implantable cardiac monitor,As needed rate control,
NCT06655532,Behavioral,Exercise Program,Patients allocated to this arm will receive the usual care plus supervised aerobic and moderate to high-intensity strength training twice weekly.,Supervised aerobic plus moderate to high-intensity strenght training,
NCT06655532,Behavioral,Usual Care,Patients allocated to this arm will receive standard medical treatment plus explicit recommendations for 12-week home-based moderate-intensity aerobic and strength training. They will also receive a weekly phone call and an in-person monthly visit to monitor exercise training performance.,Usual care,
NCT03714815,Drug,macitentan 10 mg,"macitentan 10 mg, film-coated tablet, oral use",Open-label treatment period,
NCT06931015,Other,No interventions,No interventions,"HFpEF Stage 1: Isolated left ventricle involvement, HFpEF Stage 2: Left atrial myopathy, HFpEF Stage 3: Pulmonary vasculature involvement, HFpEF Stage 4: Right chambers involvement",
NCT01914315,Behavioral,Cardiac Rehabilitation,"Patients will participate in a 6-month cardiac rehabilitation program, consisting of structured, 60-minutes, bi-weekly exercise training sessions according to a predefined protocol. Institutional activity will be complemented by 120 minutes weekly home exercise prescribed by specialist in cardiac rehabilitation. Exercise prescription will be based on a symptom limited exercise test when clinically feasible and according with the patients' functional capacity, medical history and physiological values obtained prior to exercise. Target heart rate will be set initial as 50-60% of heart rate reserve and gradually increased up to 80% of HRR. Aerobic exercise will be complemented by resistance training of low intensity.",Cardiac Rehabilitation,"Exercise Training, Multi-disciplinary cardiac rehabilitation program"
NCT01914315,Other,Internal Medicine,"Following discharge, patients will return to the IM outpatient clinics at 2-4 weeks, 3, and 6 months for consultation. These scheduled consultations will comprise of history taking, recording of any new events, physical examination and recommendations as clinically indicated. Target values for blood pressure and glucose control will be in accordance with current guidelines and special emphasis given to management of fluid retention.",Internal Medicine,
NCT01840059,Device,Renal sympathetic denervation,A fit for purpose radiofrequency catheter is guided to the renal artery using fluoroscopy. This is connected to an external RF generator. RF energy is applied through the catheter to the renal artery wall with the goal of disrupting the sympathetic nerves which run in the adventitia,Renal sympathetic denervation,Medtronic Symplicity Catheter
NCT07037459,Drug,Maridebart cafraglutide,Maridebart cafraglutide will be administered SC.,Maridebart Cafraglutide,"AMG 133, MariTide"
NCT07037459,Drug,Placebo,Placebo will be administered SC.,Placebo,
NCT02911337,Dietary Supplement,lifestyle modification,"Subjects will be given meal replacements (shakes and bars) to be consumed twice per day for 8 weeks, and then once per day for an additional 3 weeks, and then transitioned to a structured diet.",Lifestyle modification,
NCT06309537,Diagnostic Test,chemoreflex evaluation,the ventilatory response to carbon dioxide and hypoxia will be assessed in study participants,"HFpEF, asymptomatic PH-LHD, healthy volonteers",
NCT03948685,Drug,Carvedilol SR,"blood pressure, heart rate based titrated carvedilol SR for 24 weeks",Carvedilol SR,
NCT03948685,Drug,Placebo,Placebo,Placebo,
NCT04600115,Drug,Adenosine,Adenosine: 0.14mg/kg/min for 6 min. IV injection for MRI perfusion,MRI vs.PET with/without Cardiac disease,"Adenoscan, Adenocard"
NCT04600115,Drug,Regadenoson,"0.4mg in 5ml, given as a rapid (10 seconds) IV injection for MRI perfusion.",MRI vs.PET with/without Cardiac disease,Lexiscan
NCT04600115,Drug,O-15 labeled radioactive water,O-15 labeled radioactive water: Up to 50mCi IV injection at rest and again at hyperemia for PET Imaging,MRI vs.PET with/without Cardiac disease,O-15 water
NCT04600115,Device,MRI,Pass dynamic contrast enhanced MRI scans will be performed at rest and during hyperemia caused by either adenosine infusion or regadenoson,MRI vs.PET with/without Cardiac disease,
NCT04600115,Device,PET Imaging,Quantitative PET imaging with O-15 labeled radioactive water will be given at a different day,MRI vs.PET with/without Cardiac disease,Positron Emission Tomography Imaging
NCT04697485,Drug,"Bumetanide 0.5 mg, dapaglifozin 5 mg, eplerenone 25 mg","Low-Dose, Triple Polydiuretic Therapy (LDTPT) Treatment consists of:

* Loop diuretic (bumetanide 0.5 mg)
* Mineralocorticoid receptor antagonist (eplerenone 25 mg)
* Sodium-glucose co-transporter 2 inhibitor (SGLT2i): Farxiga® (dapagliflozin) 5 mg","Low-Dose, Triple Polydiuretic Therapy (LDTPT)",
NCT06409585,Diagnostic Test,68Ga-FAPI or 18F-AlF-FAPI cardiac PET-MR,200MBq of the above named radiotracer will be administered for PET-MR,"Arrhythmogenic cardiomyopathy, Cardiac Sarcoidosis, Heart failure with preserved ejection fraction, Hypertrophic cardiomyopathy and Hypertensive heart disease, Myocarditis, Takotsubo cardiomyopathy",
NCT06409585,Diagnostic Test,Echocardiogram,Echocardiogram at baseline and 1 year follow-up,"Arrhythmogenic cardiomyopathy, Cardiac Sarcoidosis, Heart failure with preserved ejection fraction, Hypertrophic cardiomyopathy and Hypertensive heart disease, Myocarditis, Takotsubo cardiomyopathy",
NCT06409585,Diagnostic Test,Cardiac MRI,Cardiac MRI at 1 year,"Arrhythmogenic cardiomyopathy, Cardiac Sarcoidosis, Heart failure with preserved ejection fraction, Hypertrophic cardiomyopathy and Hypertensive heart disease, Myocarditis, Takotsubo cardiomyopathy",
NCT01901809,Drug,Furosemide,,"Bolus furosemide and no dopamine, Bolus furosemide plus dopamine, Continuous furosemide plus dopamine, Continuous infusion furosemide and no dopamine",
NCT01901809,Drug,Dopamine,,"Bolus furosemide plus dopamine, Continuous furosemide plus dopamine",
NCT05093959,Drug,Metformin,An extended release formulation will be used which improves compliance and reduces GI side effects.,Metformin,metformin XR
NCT05093959,Drug,Placebo,Placebo is a biologically inert substance placed in capsules to match appearance of active intervention,Placebo,
NCT06581159,Biological,HS135,Subcutaneous Injection,Investigational Product,
NCT06581159,Other,Placebo,Subcutaneous Injection,Placebo,
NCT03450759,Drug,AZD9977 Oral suspension (reference),"Randomized subjects will receive single oral dose of AZD9977 oral suspension 15 mg/mL on Days 1, 3, 5 and 7 in Part A.","Treatment sequence 1, Treatment sequence 2, Treatment sequence 3, Treatment sequence 4",
NCT03450759,Drug,AZD9977 capsule,"Randomized subjects will receive single oral dose of AZD9977 capsule 65 mg on Days 1, 3, 5 and 7 in Part A.","Treatment sequence 1, Treatment sequence 2, Treatment sequence 3, Treatment sequence 4",
NCT03450759,Drug,AZD9977 ER capsule (fastvrate),"Randomized subjects will receive single oral dose of AZD9977 ER capsule (fast rate) 65 mg on Days 1, 3, 5 and 7 in Part A.","Treatment sequence 1, Treatment sequence 2, Treatment sequence 3, Treatment sequence 4",
NCT03450759,Drug,AZD9977 ER capsule (Int. rate),"Randomized subjects will receive single oral dose of AZD9977 ER capsule (Int rate) 65 mg on Days 1, 3, 5 and 7 in Part A.","Treatment sequence 1, Treatment sequence 2, Treatment sequence 3, Treatment sequence 4",
NCT04826159,Drug,IMB-1018972,Modified release tablet for oral administration,IMB-1018972 200 mg,
NCT05064709,Device,Cardiac Contractility Modulation Therapy via OPTIMIZERTM Smart Mini System,The OPTIMIZERTM Smart Mini System will be implanted and CCM will be programmed ON for the first 18 months (blinded phase). CCM therapy will be programmed to deliver 7 one-hour phases of CCM therapy that are distributed equally over every 24-hour period. CCM will remain on following completion of the 18-month visit.,CCM Group (CCM ON),CCM Group (CCM ON)
NCT05064709,Device,OPTIMIZERTM Smart Mini System,The OPTIMIZERTM Smart Mini System will be implanted and CCM will be programmed OFF for the first 18 months (blinded phase). CCM will be turned on following completion of the 18-month visit.,Sham Group (CCM OFF),Sham Group (CCM OFF)
NCT04239807,Device,Group 1 GALILEO WBV,3 month home based WBV training,"Group 1 WBV - training with wbv, Group 2 Control - training without WBV",
NCT04239807,Other,Group 2 Control,Training on the floor without WBV,"Group 1 WBV - training with wbv, Group 2 Control - training without WBV",
NCT06027307,Drug,Enavogliflozin,"All study patients will receive enavogliflozin in addition to their prior medications. They will receive optimal medical treatment for their underlying disease such as hypertension, diabetes, arrhythmia and/or coronary artery disease.",Enavogliflozin,Envlo (brand name)
NCT06027307,Drug,Placebo,"All study patients will receive placebo in addition to their prior medications. They will receive optimal medical treatment for their underlying disease such as hypertension, diabetes, arrhythmia and/or coronary artery disease.",Placebo,
NCT04945707,Drug,Ferric Derisomaltose 1000 Mg in 100 mL INTRAVENOUS SOLUTION [Monoferric],"Ferric derisomaltose (Monoferric) 1000 mg X1 (for subject \<50 kg, 20 mg/kg",Arm 1,Monoferric
NCT04945707,Drug,Placebo,Normal saline,Arm 2,Normal Saline
NCT05322109,Diagnostic Test,CMR,Clinically indicated cardiac magnetic resonance tomography executed according to international guideline recommendations.,,Cardiac magnetic resonance tomography
NCT05508256,Device,CE-marked Catheter Ablation,"Once patients have been randomized to the catheter ablation (CA) group, the ablation procedure must be performed within 4 weeks. CA will initially aim at pulmonary vein isolation.",Catheter Ablation,
NCT06536309,Drug,Sacubitril-valsartan,Sacubitril-valsartan titrated to maximally targeted dose,Sacubitril/valsartan,Entresto
NCT06536309,Drug,Valsartan,Valsartan titrated to maximally targeted dose,Valsartan,Diovan
NCT06228807,Combination Product,"The study involved a comparison of clinical characteristics, medical history, laboratory biomarkers, echocardiographic measurements, angiographic findings, and clinical outcomes between two groups.","Differences in clinical characteristics, history, laboratory biomarkers, echocardiographic measurements, angiographic findings, coronary microvascular function using caIMR and clinical outcomes were assessed between the two groups to identify potential risk factors. Subsequently, the incidence of clinical outcomes and mortality was compared. Univariate logistic regression and multivariate logistic regression analyses, adjusted for significant risk factors, were conducted to identify independent predictive factors. Finally, a Receiver Operating Characteristic (ROC) curve was generated, and the area under the curve was evaluated to assess the predictive accuracy of the regression model.","HFpEF patients with metabolic abnormalities, HFpEF patients without metabolic abnormalities",
NCT02923609,Biological,Cell Therapy,"Electro-anatomical mapping will be performed using the Biosense NOGA system (Biosense-Webster, Diamond Bar, California). Local diastolic function will be assessed by a novel algorhithm that allows for the measuring local ventricular relaxation times at each of the sampling points. Target areas for cell delivery will be defined as the myocardial segments with the evidence of local diastolic dysfunction and myocardial hibernation. Transendocardial delivery of cell suspension in the SC Group will be performed with MyoStar® (Biosense Webster) injection catheter. Each patient will receive 20 injections of 0.3 mL of stem cell suspension.",SC Group,
NCT03254485,Drug,IW-1973,Oral Tablet,IW-1973 High Dose,
NCT03254485,Drug,Placebo Oral Tablet,Oral Tablet,Placebo,
NCT06699056,Device,15-minutes of sitting during COR ECG Acquistion,"Participants will follow a standardized protocol during a 15-minute seated session using the Peerbridge CORTM device. Participants will sit comfortably in an upright chair with a straight back; armrests are optional. Their feet must remain flat on the floor with legs uncrossed to ensure unobstructed blood flow and a stable posture. Arms should be relaxed and placed in their lap, on a flat surface (e.g., table), or on the armrest, ensuring they are not tensed or elevated. Participants will maintain a straight back with relaxed shoulders throughout the session.

To begin, participants will press the Event Button on the Peerbridge CORTM mobile device, marking the start of the session. They will remain seated in this position for 15 minutes. At the end of the session, participants will press the Event Button again to mark the conclusion of the seated event. This protocol ensures consistent data collection across all participants.",Cohort Breakdown to Power Accuracy Assessments,
NCT02262078,Drug,Sodium Nitrite Inhalation Solution,90mg of (nebulized) inhaled sodium nitrite will be administered (by inhalation) to participants prior to exercise.,Sodium Nitrite,"AIR001, NaNO2, Sodium Nitrite"
NCT02262078,Other,Placebo,Normal saline will be administered (by inhalation) to participants prior to exercise.,Placebo (Saline),Saline
NCT01714752,Procedure,measure of left ventricular and diastolic pressure at exercise,,exercise,
NCT04404452,Device,Use of Eko CORE and Eko DUO electronic stethoscopes,Auscultation of heart and lung sounds using electronic stethoscopes,,
NCT02918552,Drug,sodium nitrite,Subjects to receive active study drug three times daily during treatment period and then post treatment testing period.,Treatment,nitrite
NCT02918552,Drug,Control,Subjects randomized to placebo to receive three times daily during treatment period and then post treatment testing period.,Control,Placebo
NCT05219188,Radiation,"3.7 mS, CT radiation",Subjects will undergo dynamic contrast enhanced CT with an estimated radiation exposure of 3.7 mS,"Healthy controls with BMI <25, Healthy controls with BMI >30, Heart failure with preserved ejection fraction and BMI <25, Heart failure with preserved ejection fraction and BMI >30",
NCT03050593,Diagnostic Test,"MRI scan, Echo scan",,"HFpEF group, HFrEF group, Healthy control group","cardiac MRI, trans thoracic echocardiography"
NCT03276728,Drug,AMG 986 IV,AMG 986 solution for infusion,"Part A: AMG 986, Part B: AMG 986",
NCT03276728,Drug,AMG 986 PO,AMG 986 tablets for oral (PO) administration,"Part A: AMG 986, Part B: AMG 986, Part C: HFpEF AMG 986, Part C: HFrEF AMG 986",
NCT03276728,Drug,Placebo PO,Matching placebo tablets for oral administration,"Part A: Placebo, Part B: Placebo, Part C: HFpEF Placebo, Part C: HFrEF Placebo",
NCT03276728,Drug,Placebo IV,Matching placebo solution for infusion,"Part A: Placebo, Part B: Placebo",
NCT05122793,Behavioral,Prevention offer,Improvement of outcomes through lifestyle changes and improved health literacy,Prevention Group,
NCT02053493,Drug,Isosorbide Mononitrate,"Dispense phase 1 study drug:

Weeks 1 and 2: No study drug (baseline) Week 3: 30 mg ISMN Week 4: 60 mg ISMN Weeks 5 and 6: 120 mg ISMN

Dispense phase-2 study drug:

Weeks 7 and 8: No study drug (washout) Week 9: 30 mg ISMN Week 10: 60 mg ISMN Weeks 11 and 12: 120 mg ISMN",Isosorbide Mononitrate,"Imdur, ISMO, Monoket"
NCT02053493,Drug,Placebo,"Dispense phase 1 study drug:

Weeks 1 and 2: No study drug (baseline) Week 3: 30 mg Placebo Week 4: 60 mg Placebo Weeks 5 and 6: 120 mg Placebo

Dispense phase-2 study drug:

Weeks 7 and 8: No study drug (washout) Week 9: 30 mg Placebo Week 10: 60 mg Placebo Weeks 11 and 12: 120 mg Placebo",Isosorbide Mononitate Placebo,
NCT04317911,Other,Catheter Ablation,"Patients with preserved ejection fraction presenting for catheter ablation via of atrial fibrillation are included in this study and prospectively observed regarding arrhythmia-related, functional and biomarker-associated outcomes.",,
NCT03133793,Drug,CoQ10,"Participants will take 300 mg capsules two times daily, 1 taken in the morning and 1 taken in the evening, for up to 12 weeks.","CoQ10 + D-ribose, CoQ10 Only",
NCT03133793,Drug,D-Ribose Oral Powder,"Participants will mix 15 grams D-Ribose powder, mixed with non-carbonated liquid, one time per day for up to 12 weeks.","CoQ10 + D-ribose, D-ribose Only",
NCT03133793,Other,Placebo pills,"Participants will take matched placebo pills that are 300 mg capsules, two times daily, 1 taken in the morning and 1 taken in the evening, for up to 12 weeks.","D-ribose Only, Placebo Only",
NCT03133793,Other,Placebo powder,"Participants will mix 15 grams placebo powder, mixed with non-carbonated liquid, one time per day for up to 12 weeks.","CoQ10 Only, Placebo Only",
NCT06916611,Other,Cardiac Magnetic Resonance Imaging,This study included patients who were diagnosed with HFpEF and had completed CMR.,Patients diagnosed with HFpEF,
NCT04455828,Device,WHOOP strap 3.0,"WHOOP strap 3.0, a photodiode-based device that tracks heart rate, respiratory rate, sleep, and heart rate variability.","Hospitalized Heart Failure subjects, Non-hospitalized Heart Failure subjects",
NCT03153111,Drug,Macitentan,macitentan 10 mg; film-coated tablet; oral use,Macitentan,ACT-064992
NCT03153111,Drug,Placebo,film-coated tablet (identical to the macitentan tablet); oral use,Placebo,
NCT01920711,Drug,LCZ696,"LCZ696 50mg, 100mg and 200 mg dosage strengths will be available for dose adjustments.",LCZ696,
NCT01920711,Drug,Valsartan,"Valsartan 40mg, 80mg and 160mg dosage strengths will be available for dose adjustments.",Valsartan,
NCT06101693,Diagnostic Test,Plasma biomarker levels,"This study will investigate the diagnostic utility and performance of:

1. Alternative cut-offs for NT-proBNP to identify HF(pEF) in people with suspected HF and obesity, in whom
2. Novel candidate biomarkers to identify HF(pEF) in people with suspected HF and obesity.
3. Novel candidate biomarkers to identify HF(pEF) in people with suspected HF and NT-proBNP \<125 ng/L
4. The prevalence of HF in people with suspected HF and low NT-proBNP \<125 ng/L).

The diagnosis of heart failure will be determined according to international guidelines, when there are symptoms and/or signs of HF in association with ""objective evidence of cardiac structural and/or functional abnormalities consistent with the presence of LV diastolic dysfunction/raised LV filling pressures"". Non-invasive testing with rest and diastolic stress echocardiography will be used to evaluate for evidence of raised filling pressures, in order to make the study procedures applicable to usual clinical practice.","Patients with NTproBNP125-399ng/L and clinical suspicion of heart failure in primary care, Patients with NTproBNP<125ng/L and clinical suspicion of heart failure in primary care, Patients with NTproBNP≥400ng/L and clinical suspicion of heart failure in primary care","Rest echocardiography, Diastolic stress echocardiography"
NCT06604611,Drug,Colchicine 0.5 MG Oral Tablet Once Daily,"The intervention in this study is colchicine, patients randomized to the experimental group will be given oral colchicine 5mg once a day in 12 weeks.",Colchicine Treatment Group,
NCT05475028,Other,RRBS,Reduced Representation Bisulfite Sequencing,"HFpEF, HFrEF, Healthy controls",
NCT04788511,Drug,Semaglutide,"Semaglutide will be injected into a skin fold, in the stomach, thigh or upper arm once a week at the same day of the week (to the extent possible) throughout the trial.

Dose gradually escalated from 0.25 mg until target dose. The study will last for approximately 59 weeks.",Semaglutide,
NCT04788511,Drug,Placebo (semaglutide),"Placebo will be injected into a skin fold, in the stomach, thigh or upper arm once a week at the same day of the week (to the extent possible) throughout the trial.

The study will last for approximately 59 weeks.",Placebo (semaglutide),
NCT06793371,Drug,"CK-4021586 (150 mg, 300 mg, 450 mg, and 600 mg)",CK-4021586 administered orally,"CK-4021586 - Cohort 1, CK-4021586 - Cohort 2, CK-4021586 - Cohort 3",
NCT06793371,Drug,Placebo to match CK-4021586,Placebo administered orally,"Placebo - Cohort 1, Placebo - Cohort 2, Placebo - Cohort 3",
NCT07077811,Procedure,pulsed field ablation,Medtronic Pulse Select pulsed field ablation,Surgical group,
NCT07077811,Drug,antiarrhythmic drug,treated with class I or class III antiarrhythmic drugs,Drug group,
NCT00839228,Drug,Perhexiline,100mg o bd for 3 months,Perhexiline,Pexsig
NCT00839228,Drug,Placebo,Placebo one tablet bd for 3 months,Placebo,Starch Placebo
NCT05991128,Drug,Ferric derisomaltose,"After baseline assessments patients will be randomised in a 1:1 ratio to receive ferric derisomaltose IV or placebo (normal saline). In the Treatment group, Ferric derisomaltose will be administered according to the dosing schedule.",Ferric derisomaltose,"Monofer, Iron (III) isomaltoside 1000"
NCT05991128,Drug,Placebo,"n the placebo group, patients will receive the equivalent number of normal saline injections.",Placebo,Normal saline
NCT04163861,Diagnostic Test,2d speckle tracking echocardiography,2d speckle tracking echocardiography,"1, 2",
NCT04163861,Diagnostic Test,serum BNP level,serum BNP level of HFpEF study subjects,1,
NCT05887271,Drug,Low calorie meal replacement plan,"Meal replacement diet containing \~850 kcal/day (40% protein, 50% carbohydrate, 10% fat) supplied by Counterweight® (www.counterweight.org).The meal replacement plan will comprise of 3-4 meal packs/day (to equate to 850 kcal) with sweet and savoury options, and an allowance of 100ml semi-skimmed milk or a non-dairy alternative.",Low calorie meal replacement plan (MRP) arm,Diet
NCT05887271,Diagnostic Test,Cardiovascular magnetic resonance (CMR) imaging and magnetic resonance spectroscopy,"CMR scanning performed on a 3T MRI scanner. Standardised protocol incorporating cine functional assessment to determine LV mass, systolic function and left atrial volumes; global systolic strain and diastolic strain rates will be assessed by tagging and with tissue tracking analysis from cine images, adenosine rest and stress myocardial perfusion to assess reserve index and qualitative perfusion defects as previously described, aortic distensibility and pulse wave velocity to measure aortic stiffness, delayed contrast enhancement for assessment of LV fibrosis and evidence of previous myocardial infarction. Myocardial and liver triglyceride content will be assessed using the modified Hepafat® sequence or 1H MR spectroscopy at the inter ventricular septum. DIXON technique for the quantification of visceral adiposity and subcutaneous adipose tissue. Cardiac 31P magnetic resonance spectroscopy imaging to assess cardiac muscle energetics according to a standardised operating procedure","Guideline driven care with attention control arm, Low calorie meal replacement plan (MRP) arm",CMR
NCT05887271,Diagnostic Test,Transthoracic echocardiography,"Comprehensive transthoracic echocardiography, including: tissue Doppler indices of diastolic filling and speckle tracking for systolic and diastolic strain/strain rate, exclusion of valvular abnormalities, assessment of LV size and function","Guideline driven care with attention control arm, Low calorie meal replacement plan (MRP) arm",
NCT05887271,Diagnostic Test,Blood test,Collection of blood samples from each participant to characterise the participant's health status and fibroinflammatory markers.,"Guideline driven care with attention control arm, Low calorie meal replacement plan (MRP) arm",
NCT05887271,Diagnostic Test,Electrocardiogram,An ECG will be obtained to assess for baseline rhythm.,"Guideline driven care with attention control arm, Low calorie meal replacement plan (MRP) arm",ECG
NCT05887271,Diagnostic Test,Accelerometery,Accelerometer (GeneActiv) measured daily activity levels continuously for 7 consecutive days.,"Guideline driven care with attention control arm, Low calorie meal replacement plan (MRP) arm",
NCT05887271,Diagnostic Test,6 minute walk test (6MWT),Supervised 6MWT will be performed with symptom assessment using dyspnoea scale (Borg's).,"Guideline driven care with attention control arm, Low calorie meal replacement plan (MRP) arm",
NCT05887271,Diagnostic Test,Skeletal muscle strength using handgrip strength and quadriceps (Cybex dynamometer),Skeletal muscle strength will be measured using a cybex dynamometer.,"Guideline driven care with attention control arm, Low calorie meal replacement plan (MRP) arm",
NCT05887271,Other,Assessment of quality of life and heart failure symptoms,"Quality of life and HF symptoms will be assessed using the Minnesota Living with Heart Failure (MLWHF) questionnaire, which is used as a standardised measure of self-reported health status, and HF symptoms and is considered to have a good discriminatory power and validity","Guideline driven care with attention control arm, Low calorie meal replacement plan (MRP) arm",
NCT05887271,Other,Assessment of sarcopenia,"Participants will be assessed for presence of sarcopenia using the Strength, Assistance with walking, Rise from a chair, Climb stairs and Falls (SARC-F) questionnaire. It is a robust tool for diagnosis of sarcopenia and prediction poor physical function, with excellent specificity in multimorbid individuals.","Guideline driven care with attention control arm, Low calorie meal replacement plan (MRP) arm",
NCT05887271,Other,Assessment of frailty,"Frailty will be assessed using the Edmonton Frail Scale (EFS). The EFS is a multidimensional frailty assessment which assesses multiple domains of frailty including functional independence, social support, cognition, medication use, and mood.","Guideline driven care with attention control arm, Low calorie meal replacement plan (MRP) arm",
NCT05887271,Other,Qualitative interview,"Participants in the MRP and control groups will be invited to attend a focused semi-structured, 1-2-1 interview aimed to elicit barriers and enablers to the MRP and describe their perspective on the relationship between healthy eating and health interview during the 12-week visit. Participants who complete or drop out will be eligible. Inclusion of participants in the control arm will allow us to compare the experiences of MRP versus health coaching and detect any specific issues people face when trying to introduce lifestyle changes themselves.","Guideline driven care with attention control arm, Low calorie meal replacement plan (MRP) arm",
NCT05887271,Diagnostic Test,Skeletal muscle magnetic resonance spectroscopy,"Assessment of skeletal muscle volume (quadriceps and calf muscle) using MRI, and 31P-magnetic resonance spectroscopy (31P-MRS) of the skeletal muscle using fysiometer and during isometric exercise at rest and after 5 minutes of exercise to assess changes in muscle energetics at rest and on exercise.","Guideline driven care with attention control arm, Low calorie meal replacement plan (MRP) arm",
NCT02425371,Other,Screening and treatment of comorbidities,Screening and treatment of comorbidities,Intervention,
NCT02425371,Other,Placebo Comparator,No screening of comorbidities,Control,
NCT02638961,Other,IMT,"Patients allocated to IMT arm will receive standard medical treatment and will be instructed to train at home twice daily, for 20 minutes each session, and during 12 weeks using a threshold inspiratory muscle trainer (Threshold IMT®, Respironics Inc.). All of them will be instructed by a respiratory therapist and educated to maintain a diaphragmatic breathing during the training period. The subjects start breathing at a resistance equal to 25-30% of their maximal inspiratory pressure (MIP) for 1 week. The respiratory therapist examines the patients at weekly intervals by checking the diary card and measuring their MIP each time. The resistance is modified each session according to their 25-30% of their MIP measured.","IMT group, IMT+FES group",Inspiratory muscular training
NCT02638961,Other,FES,"Patients allocated to FES arm will receive standard medical treatment and will be trained in a FES program of both legs by a physiotherapist for 45 minutes a day, 2 days per week for a total of 12 weeks. Eight adhesive electrodes are positioned on the skin over the quadriceps and gastrocnemius muscles of both legs. The stimulator is configured to deliver a direct electrical current at 25 Hz for 5 seconds followed by a 5-second rest. The intensity of the stimulation is adjusted to achieve a visible muscle contraction without discomfort.","FES group, IMT+FES group",Functional electrostimulation of lower limbs
NCT02638961,Other,Standard treatment,"Patients allocated to this arm will not receive any physical therapy, only standard medical treatment. They will be checked weekly by a physiotherapist who measures their maximal inspiratory mouth pressure each time.",Standard treatment,
